c4,c12,predicted
0,0,1860.7717
0,.1,43367.402
0,.5,59078.441
0,1,61920.141
0,2,63449.535
0,3,63976.793
0,4,64243.82
0,5,64405.141
.1,0,2447.7578
.1,.1,91879.688
.1,.5,107590.73
.1,1,110432.42
.1,2,111961.82
.1,3,112489.08
.1,4,112756.11
.1,5,112917.42
.5,0,4236.7939
.5,.1,93668.719
.5,.5,109379.77
.5,1,112221.46
.5,2,113750.86
.5,3,114278.11
.5,4,114545.14
.5,5,114706.47
1,0,5699.1289
1,.1,95131.063
1,.5,110842.09
1,1,113683.8
1,2,115213.19
1,3,115740.45
1,4,116007.47
1,5,116168.8
2,0,7405.3477
2,.1,96837.281
2,.5,112548.31
2,1,115390.02
2,2,116919.41
2,3,117446.67
2,4,117713.69
2,5,117875.02
3,0,8369.8086
3,.1,97801.734
3,.5,113512.78
3,1,116354.47
3,2,117883.88
3,3,118411.13
3,4,118678.16
3,5,118839.47
4,0,8989.8486
4,.1,98421.781
4,.5,114132.81
4,1,116974.52
4,2,118503.91
4,3,119031.17
4,4,119298.2
4,5,119459.52
5,0,9422.0107
5,.1,98853.938
5,.5,114564.98
5,1,117406.67
5,2,118936.08
5,3,119463.33
5,4,119730.36
5,5,119891.67
